127.0.0.1 - - [02/Apr/2024:20:01:51 -0500] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [02/Apr/2024:20:02:01 -0500] "GET /Empleados/Empleados.jsp HTTP/1.1" 200 2105
0:0:0:0:0:0:0:1 - - [02/Apr/2024:20:02:02 -0500] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [02/Apr/2024:20:08:55 -0500] "GET /Empleados/Empleados.jsp HTTP/1.1" 200 1998
0:0:0:0:0:0:0:1 - - [02/Apr/2024:20:12:33 -0500] "GET /Empleados/Empleados.jsp HTTP/1.1" 200 2002
0:0:0:0:0:0:0:1 - - [02/Apr/2024:20:12:56 -0500] "GET /Empleados/Empleados.jsp HTTP/1.1" 200 2006
0:0:0:0:0:0:0:1 - - [02/Apr/2024:20:13:18 -0500] "GET /Empleados/Empleados.jsp HTTP/1.1" 200 2042
0:0:0:0:0:0:0:1 - - [02/Apr/2024:20:14:01 -0500] "GET /Empleados/Empleados.jsp HTTP/1.1" 200 2042
0:0:0:0:0:0:0:1 - - [02/Apr/2024:20:14:12 -0500] "GET /Empleados/Empleados.jsp HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [02/Apr/2024:20:14:37 -0500] "GET /Empleados/Empleados.jsp HTTP/1.1" 200 1998
0:0:0:0:0:0:0:1 - - [02/Apr/2024:20:14:50 -0500] "GET /Empleados/Empleados.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [02/Apr/2024:20:15:04 -0500] "GET /Empleados/Empleados.jsp HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [02/Apr/2024:20:15:14 -0500] "GET /Empleados/Empleados.jsp HTTP/1.1" 200 2038
0:0:0:0:0:0:0:1 - - [02/Apr/2024:20:15:26 -0500] "GET /Empleados/Empleados.jsp HTTP/1.1" 200 2042
0:0:0:0:0:0:0:1 - - [02/Apr/2024:20:22:31 -0500] "GET /Empleados/Empleados.jsp HTTP/1.1" 200 2042
0:0:0:0:0:0:0:1 - - [02/Apr/2024:20:22:43 -0500] "GET /Empleados/Empleados.jsp HTTP/1.1" 200 2068
0:0:0:0:0:0:0:1 - - [02/Apr/2024:20:22:44 -0500] "GET /Empleados/Empleados.jsp HTTP/1.1" 200 2068
0:0:0:0:0:0:0:1 - - [02/Apr/2024:20:26:55 -0500] "GET /Empleados/Empleados.jsp HTTP/1.1" 200 2068
0:0:0:0:0:0:0:1 - - [02/Apr/2024:20:28:26 -0500] "GET /Empleados/Empleados.jsp HTTP/1.1" 200 2067
0:0:0:0:0:0:0:1 - - [02/Apr/2024:20:29:46 -0500] "GET /Empleados/Empleados.jsp HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [02/Apr/2024:20:33:51 -0500] "GET /Empleados/Empleados.jsp HTTP/1.1" 200 2071
0:0:0:0:0:0:0:1 - - [02/Apr/2024:20:36:35 -0500] "GET /Empleados/Empleados.jsp HTTP/1.1" 200 2070
0:0:0:0:0:0:0:1 - - [02/Apr/2024:20:36:37 -0500] "GET /Empleados/Empleados.jsp HTTP/1.1" 200 2070
0:0:0:0:0:0:0:1 - - [02/Apr/2024:20:36:45 -0500] "GET /Empleados/Empleados.jsp HTTP/1.1" 200 2061
0:0:0:0:0:0:0:1 - - [02/Apr/2024:20:37:06 -0500] "GET /Empleados/Empleados.jsp HTTP/1.1" 200 2065
0:0:0:0:0:0:0:1 - - [02/Apr/2024:20:37:16 -0500] "GET /Empleados/Empleados.jsp HTTP/1.1" 200 2061
0:0:0:0:0:0:0:1 - - [02/Apr/2024:20:37:48 -0500] "GET /Empleados/Empleados.jsp HTTP/1.1" 200 2073
0:0:0:0:0:0:0:1 - - [02/Apr/2024:20:37:49 -0500] "GET /Empleados/Empleados.jsp HTTP/1.1" 200 2073
0:0:0:0:0:0:0:1 - - [02/Apr/2024:20:38:09 -0500] "GET /Empleados/Empleados.jsp HTTP/1.1" 200 2065
0:0:0:0:0:0:0:1 - - [02/Apr/2024:20:38:20 -0500] "GET /Empleados/Empleados.jsp HTTP/1.1" 200 2065
0:0:0:0:0:0:0:1 - - [02/Apr/2024:20:38:22 -0500] "GET /Empleados/Empleados.jsp HTTP/1.1" 200 2065
0:0:0:0:0:0:0:1 - - [02/Apr/2024:20:38:32 -0500] "GET /Empleados/Empleados.jsp HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [02/Apr/2024:20:47:01 -0500] "GET /Empleados/Empleados.jsp HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [02/Apr/2024:20:47:03 -0500] "GET /Empleados/Empleados.jsp HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [02/Apr/2024:20:47:14 -0500] "GET /Empleados/Empleados.jsp HTTP/1.1" 200 2029
0:0:0:0:0:0:0:1 - - [02/Apr/2024:20:49:58 -0500] "GET /Empleados/Empleados.jsp HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [02/Apr/2024:20:50:07 -0500] "GET /Empleados/Empleados.jsp HTTP/1.1" 200 2029
